allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,bravo,,0%,85/100g,17%,28%,6%,50%,wet,,0.0%,3.0%,5.0%,1.0%,82.0%,9.0%,"Beef,beef broth,vegetable broth,beef liver,beef heart,natural flavor,dried eggs,sunflower oil,agar-agar,cranberries,salmon oil,dried green lipped mussels,dandelion greens,parsley,salt,calcium carbonate,tricalcium phosphate,choline chloride,taurine,turmeric,iron amino acid chelate,magnesium amino acid chelate,zinc amino acid chelate,manganese amino acid chelate,copper amino acid chelate,sodium selenite,calcium iodate,thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin B12 supplement,vitamin D3 supplement,folic acid",[4],Feline Cafe Beef Fricassee,[3],,
,bravo,,0%,121/100g,7%,43%,5%,45%,wet,,0.0%,1.5%,9.5%,1.0%,78.0%,10.0%,"Chicken,chicken broth,chicken heart,chicken liver,natural flavor,salmon oil,cranberries,agar-agar,dried green lipped mussels,dandelion greens,parsley,tricalcium phosphate,choline chloride,salt,potassium chloride,taurine,calcium carbonate,turmeric,iron amino acid chelate,magnesium amino acid chelate,zinc amino acid chelate,manganese amino acid chelate,copper amino acid chelate,sodium selenite,calcium iodate,thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin B12 supplement,vitamin D3 supplement,folic acid",[4],Feline Cafe 95% Chicken & Liver Dinner,[4],,
,bravo,,0%,111/100g,13%,34%,5%,49%,wet,,0.0%,2.8%,7.5%,1.0%,78.0%,10.7%,"Beef,beef broth,turkey,beef liver,beef heart,natural flavor,cranberries,salmon oil,agar-agar,dried green lipped mussels,dandelion greens,parsley,choline chloride,calcium carbonate,taurine,turmeric,salt,potassium chloride,tricalcium phosphate,iron amino acid chelate,magnesium amino acid chelate,zinc amino acid chelate,manganese amino acid chelate,copper amino acid chelate,sodium selenite,calcium iodate,thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin B12 supplement,vitamin D3 supplement,folic acid",[5],"Feline Cafe 95% Beef, Turkey & Liver Dinner",[4],,
,by nature,,8%,367/100g,23%,20%,4%,44%,dry,,7.5%,21.0%,18.0%,3.5%,10.0%,40.0%,"Deboned turkey,chicken meal,deboned chicken,turkey meal,green peas,sweet potatoes,lentils,tapioca,chicken fat (preserved with mixed tocopherols),pea protein,deboned herring,dried whole eggs,sun-cured alfalfa meal,natural chicken flavor,chicken liver,salmon oil (source of DHA),coconut oil,potassium chloride,pumpkin,butternut squash,carrots,spinach,broccoli,apples,pears,blueberries,cranberries,pomegranate,juniper berry extract,ginger,fennel,green tea extract,peppermint leaf,turmeric,choline chloride,lecithin,taurine,salt,chicory root extract,vitamins [Vitamin E supplement,L-ascorbyl-2-polyphosphate (source of Vitamin C),Vitamin A supplement,niacin supplement,d-calcium pantothenate,inositol,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,biotin,Vitamin B12 supplement,Vitamin D3 supplement,folic acid],minerals [zinc oxide,zinc proteinate,iron proteinate,ferrous sulfate,copper proteinate,copper sulfate,manganese proteinate,manganese oxide,calcium iodate,sodium selenite],L-methionine,yeast extract,glucosamine hydrochloride,yucca schidigera extract,L-lysine,rosemary extract,chondroitin sulfate,L-carnitine,dried Lactobacillus plantarum fermentation product,dried Enterococcus faecium fermentation product,dried Bacillus subtilis fermentation product,dried Bifidobacterium animalis fermentation product,dried Lactobacillus casei fermentation product,dried Lactobacillus helveticus fermentation product,dried Bifidobacterium longum fermentation product,dried Lactobacillus acidophilus fermentation product",[5],"Turkey, Chicken & Sweet Potato Recipe",[3],,
,by nature,,0%,74/100g,19%,14%,3%,64%,wet,,0.0%,3.5%,2.5%,0.5%,82.0%,11.5%,"Tuna,tuna broth,vegetable broth,salmon,tapioca starch,sunflower oil,carrots,green peas,tricalcium phosphate,sweet potato,guar gum,choline chloride,potassium chloride,magnesium sulfate,taurine,ascorbic acid, apples,pumpkin,broccoli,spinach,fennel,turmeric,tomato,goji berries,zinc amino acid chelate,Vitamin E supplement, copper amino acid chelate,iron amino acid chelate,niacin supplement,d-calcium pantothenate,manganese amino acid chelate,thiamine mononitrate,riboflavin supplement,pyridoxine hydrochloride,Vitamin A supplement,calcium iodate,folic acid,menadione sodium bisulfite complex,biotin,Vitamin D3 supplement,Vitamin B12 supplement",[2],Tuna & Salmon Stew,[4],,
,by nature,,8%,341/100g,31%,16%,6%,40%,dry,,7.5%,27.5%,14.0%,5.0%,10.0%,36.0%,"Deboned pork,pork meal,lentils,potato protein,sweet potatoes,pea protein,tapioca,peas,pork fat (preserved with mixed tocopherols). ground flaxseed,sun-cured alfalfa meal,natural flavor,coconut oil,carrots,apples,cranberries,broccoli,spinach,turmeric,fennel,blueberries,pomegranate,choline chloride,DL methionine,inulin,potassium chloride,salt,taurine,L-lysine monohydrochloride,vitamins [Vitamin E supplement,L-ascorbyl-2-polyphosphate (source of Vitamin C),Vitamin A supplement,niacin supplement,d-calcium pantothenate,inositol,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,biotin,Vitamin B12 supplement,Vitamin D3 supplement,folic acid],minerals [zinc oxide,zinc proteinate,iron proteinate,ferrous sulfate,copper proteinate,copper sulfate,manganese proteinate,manganese oxide,calcium iodate,sodium selenite],yucca schidigera extract,fish oil,dried Lactobacillus plantarum fermentation product,dried Enterococcus faecium fermentation product,dried Bacillus subtilis fermentation product,dried Bifidobacterium animalis fermentation product,dried Lactobacillus casei fermentation product,dried Lactobacillus helveticus fermentation product,dried Bifidobacterium longum fermentation product,dried Lactobacillus acidophilus fermentation product",[4],Pork & Sweet Potato Recipe,[2],,
,by nature,,8%,365/100g,32%,19%,3%,38%,dry,,7.0%,29.0%,17.0%,3.0%,10.0%,34.0%,"Deboned ocean whitefish,menhaden fish meal,ocean whitefish meal,pea protein,steel-cut oats,green peas,duck fat (preserved with mixed tocopherols),sweet potatoes,lentils,deboned duck,tapioca,sun-cured alfalfa meal,natural fish flavor,salmon oil (source of DHA),coconut oil,pumpkin,butternut squash,carrots,spinach,broccoli,apples,pears,blueberries,cranberries,pomegranate,juniper berry extract,ginger,fennel,green tea extract,peppermint leaf,turmeric,potassium chloride,DL-methionine,lecithin,chicory root extract,vitamins [Vitamin E supplement,L-ascorbyl-2-polyphosphate (source of Vitamin C),Vitamin A supplement,niacin supplement,d-calcium pantothenate,inositol,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,biotin,Vitamin B12 supplement,Vitamin D3 supplement,folic acid],minerals [zinc oxide,zinc proteinate,iron proteinate,ferrous sulfate,copper proteinate,copper sulfate,manganese proteinate,manganese oxide,calcium iodate,sodium selenite],choline chloride,yeast extract,taurine,L-lysine,yucca schidigera extract,rosemary extract,L-carnitine,dried Lactobacillus plantarum fermentation product,dried Enterococcus faecium fermentation product,dried Bacillus subtilis fermentation product,dried Bifidobacterium animalis fermentation product,dried Lactobacillus casei fermentation product,dried Lactobacillus helveticus fermentation product,dried Bifidobacterium longum fermentation product,dried Lactobacillus acidophilus fermentation product",[4],"Ocean Whitefish, Green Peas & Duck Recipe",[2],,
,by nature,,8%,367/100g,26%,20%,4%,42%,dry,,7.5%,23.0%,18.0%,3.5%,10.0%,38.0%,"Deboned ocean whitefish,ocean whitefish meal,pea protein,menhaden fish meal,green peas,canola oil (preserved with mixed tocopherols),tapioca,sweet potatoes,lentils,deboned herring,sun-cured alfalfa meal,natural fish flavor,salmon oil (source of DHA),coconut oil,potassium chloride,pumpkin,butternut squash,carrots,spinach,broccoli,apples,pears,blueberries,cranberries,pomegranate,juniper berry extract,ginger,fennel,green tea extract,peppermint leaf,turmeric,choline chloride,lecithin,taurine,salt,chicory root extract,vitamins [Vitamin E supplement,L-ascorbyl-2-polyphosphate (source of Vitamin C),Vitamin A supplement,niacin supplement,d-calcium pantothenate,inositol,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,biotin,Vitamin B12 supplement,Vitamin D3 supplement,folic acid],minerals [zinc oxide,zinc proteinate,iron proteinate,ferrous sulfate,copper proteinate,copper sulfate,manganese proteinate,manganese oxide,calcium iodate,sodium selenite],DL-methionine,yeast extract,glucosamine hydrochloride,yucca schidigera extract,L-lysine,rosemary extract,chondroitin sulfate,L-carnitine,dried Lactobacillus plantarum fermentation product,dried Enterococcus faecium fermentation product,dried Bacillus subtilis fermentation product,dried Bifidobacterium animalis fermentation product,dried Lactobacillus casei fermentation product,dried Lactobacillus helveticus fermentation product,dried Bifidobacterium longum fermentation product,dried Lactobacillus acidophilus fermentation product",[4],Ocean Whitefish & Green Peas Recipe,[3],,
,by nature,,0%,79/100g,31%,19%,3%,47%,wet,,0.0%,5.5%,3.5%,0.5%,82.0%,8.5%,"Ocean fish,ocean fish broth,vegetable broth,egg,shrimp,tapioca starch,carrots,green peas,sunflower oil,sweet potato,salt,guar gum,choline chloride,potassium chloride,magnesium sulfate,taurine,ascorbic acid,apples, pumpkin,broccoli,spinach,fennel,turmeric,tomato,goji berries,zinc amino acid chelate,Vitamin E supplement,copper amino acid chelate,iron amino acid chelate,niacin supplement,d-calcium pantothenate,manganese amino acid chelate, thiamine mononitrate,riboflavin supplement,pyridoxine hydrochloride,Vitamin A supplement,calcium iodate,folic acid, menadione sodium bisulfite complex,biotin,Vitamin D3 supplement,Vitamin B12 supplement",[2],Ocean Fish & Shrimp Stew,[2],,
,by nature,,0%,76/100g,33%,17%,3%,47%,wet,,0.0%,6.0%,3.0%,0.5%,82.0%,8.5%,"Beef,beef broth,vegetable broth,egg,chicken,tapioca starch,pea protein,carrots,green peas,sweet potato,salt,guar gum,choline chloride,potassium chloride,magnesium sulfate,taurine,ascorbic acid,apples,pumpkin, broccoli,spinach,fennel,turmeric,tomato,goji berries,zinc amino acid chelate,Vitamin E supplement,copper amino acid chelate,iron amino acid chelate,niacin supplement,d-calcium pantothenate,manganese amino acid chelate,thiamine mononitrate,riboflavin supplement,pyridoxine hydrochloride,Vitamin A supplement,calcium iodate,folic acid,menadione sodium bisulfite complex,biotin,Vitamin D3 supplement,Vitamin B12 supplement",[3],Beef & Chicken Stew,[3],,
,by nature,,14%,90/100g,14%,23%,2%,48%,wet,,3.0%,3.0%,5.0%,0.5%,78.0%,10.5%,"Tuna,chicken,chicken liver,chicken broth,tuna broth,sweet potato,potassium chloride,tricalcium phosphate,guar gum,agar-agar,salt,calcium carbonate,cassia gum,carrots,apples,cranberries,broccoli,spinach,turmeric,fennel,blueberries,pomegranate,taurine,choline chloride,Vitamin A supplement,Vitamin D3 supplement,Vitamin E supplement,Vitamin B12 supplement,biotin,sodium selenite,folic acid,calcium iodate,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,copper proteinate,manganese proteinate,d-calcium pantothenate,niacin supplement,menadione sodium bisulfite complex,iron proteinate,zinc proteinate",[4],"95% Tuna, Chicken & Chicken Liver Recipe",[4],,
,by nature,,14%,91/100g,8%,24%,2%,52%,wet,,3.0%,1.8%,5.2%,0.5%,78.0%,11.5%,"Tuna,tuna broth,sweet potato,potassium chloride,tricalcium phosphate,guar gum,agar-agar,salt,xanthan gum,calcium carbonate,cassia gum,carrots,apples,cranberries,broccoli,spinach,turmeric,fennel,blueberries,pomegranate,taurine,choline chloride,Vitamin A supplement,Vitamin D3 supplement,Vitamin E supplement,Vitamin B12 supplement,biotin,sodium selenite,folic acid,calcium iodate,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,copper proteinate,manganese proteinate,d-calcium pantothenate,niacin supplement,menadione sodium bisulfite complex,iron proteinate,zinc proteinate",[2],95% Tuna Recipe,[4],,
,by nature,,14%,105/100g,0%,36%,2%,48%,wet,,3.0%,0.0%,8.0%,0.5%,78.0%,10.5%,"Salmon,mackerel,sardines,fish broth,vegetable broth,sweet potato,potassium chloride,tricalcium phosphate,guar gum,agar-agar,salt,xanthan gum,calcium carbonate,cassia gum,carrots,apples,cranberries,broccoli,spinach,turmeric,fennel,blueberries,pomegranate,taurine,choline chloride,Vitamin A supplement,Vitamin D3 supplement,Vitamin E supplement,Vitamin B12 supplement,biotin,sodium selenite,folic acid,calcium iodate,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,copper proteinate,manganese proteinate,d-calcium pantothenate,niacin supplement,menadione sodium bisulfite complex,iron proteinate,zinc proteinate",[3],"95% Salmon, Mackerel & Sardines Recipe",[4],,
,by nature,,15%,104/100g,4%,36%,2%,43%,wet,,3.2%,0.8%,8.0%,0.5%,78.0%,9.5%,"Salmon,turkey,salmon broth,turkey broth,sweet potato,potassium chloride,tricalcium phosphate,guar gum,agar-agar,salt,xanthan gum,cassia gum,carrots,apples,cranberries,broccoli,spinach,turmeric,fennel,blueberries,pomegranate,taurine,choline chloride,Vitamin A supplement,Vitamin D3 supplement,Vitamin E supplement,Vitamin B12 supplement,biotin,sodium selenite,folic acid,calcium iodate,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,copper proteinate,manganese proteinate,d-calcium pantothenate,niacin supplement,menadione sodium bisulfite complex,iron proteinate,zinc proteinate",[3],95% Salmon & Turkey Recipe,[4],,
,by nature,,14%,90/100g,18%,23%,2%,43%,wet,,3.0%,4.0%,5.0%,0.5%,78.0%,9.5%,"Chicken,chicken liver,lamb,lamb liver,chicken broth,lamb broth,sweet potato,potassium chloride,tricalcium phosphate,guar gum,agar-agar,salt,xanthan gum,calcium carbonate,cassia cum,carrots,apples,cranberries,broccoli,spinach,turmeric,fennel,blueberries,pomegranate,taurine,choline chloride,Vitamin A supplement,Vitamin D3 supplement,Vitamin E supplement,Vitamin B12 supplement,biotin,sodium selenite,folic acid,calcium iodate,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,copper proteinate,manganese proteinate,d-calcium pantothenate,niacin supplement,iron proteinate,zinc proteinate",[5],95% Chicken & Lamb Recipe,[3],,
,by nature,,13%,88/100g,24%,20%,2%,41%,wet,,2.8%,5.2%,4.5%,0.5%,78.0%,9.0%,"Chicken,chicken liver,chicken broth,vegetable broth,sweet potato,potassium chloride,tricalcium phosphate,guar gum,agar-agar,salt,xanthan gum,calcium carbonate,cassia gum,carrots,apples,cranberries,broccoli,spinach,turmeric,fennel,blueberries,pomegranate,taurine,choline chloride,Vitamin A supplement,Vitamin D3 supplement,Vitamin E supplement,Vitamin B12 supplement,biotin,sodium selenite,folic acid,calcium iodate,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,copper proteinate,manganese proteinate,d-calcium pantothenate,niacin supplement,iron proteinate,zinc proteinate",[3],95% Chicken & Chicken Liver Recipe,[3],,
,by nature,,15%,89/100g,15%,23%,2%,45%,wet,,3.2%,3.3%,5.0%,0.5%,78.0%,10.0%,"Beef,beef liver,chicken,beef broth,chicken broth,sweet potato,potassium chloride,tricalcium phosphate,guar gum,agar-agar,salt,xanthan gum,cassia gum,carrots,apples,cranberries,broccoli,spinach,turmeric,fennel,blueberries,pomegranate,taurine,choline chloride,Vitamin A supplement,Vitamin D3 supplement,Vitamin E supplement,Vitamin B12 supplement,biotin,sodium selenite,folic acid,calcium iodate,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,copper proteinate,manganese proteinate,d-calcium pantothenate,niacin supplement,iron proteinate,zinc proteinate",[4],"95% Beef, Beef Liver & Chicken Recipe",[4],,
,by nature,,14%,80/100g,25%,14%,2%,45%,wet,,3.0%,5.5%,3.0%,0.5%,78.0%,10.0%,"Beef,beef liver,beef broth,vegetable broth,potassium chloride,tricalcium phosphate,guar gum,agar-agar,salt,xanthan gum,cassia gum,sweet potato,carrots,apples,cranberries,broccoli,spinach,turmeric,fennel,blueberries,pomegranate,taurine,choline chloride,Vitamin A  supplement,Vitamin D3 supplement,Vitamin E supplement,Vitamin B12 supplement,biotin,sodium selenite,folic acid,calcium iodate,riboflavin supplement,pyridoxine hydrochloride,thiamine mononitrate,copper proteinate,manganese proteinate,d-calcium pantothenate,niacin supplement,iron proteinate,zinc proteinate",[3],95% Beef & Beef Liver Recipe,[3],,
,by nature,,9%,357/100g,32%,18%,3%,38%,dry,,8.0%,29.0%,16.0%,3.0%,10.0%,34.0%,"Salmon Meal,Ground Oats,Chicken Meal,Ground Brown Rice,Chicken Fat (Preserved with Mixed Tocopherols),Potato Meal,Herring Meal,Salmon,Menhaden Meal,Egg Product,Tomato Pomace,Catfish Meal,Lobster Meal,Crab Meal,Sardine Meal,Natural Flavor,Chicken Livers,Herring Oil,Yeast Culture,Salt,Potassium Chloride,Taurine,DL-Methionine,L-Lysine Monohydrochloride,Vitamin E Supplement,Choline Chloride,Zinc Sulfate,Zinc Proteinate,Vitamin A Supplement,Vitamin D3 Supplement,Sweet Potatoes,Carrots,Blueberries,Cranberries,Dried Chicory Root,Raspberries,Turmeric,Niacin Supplement,Ferrous Sulfate,Manganese Sulfate,d-Calcium Pantothenate,Manganese Proteinate,Copper Proteinate,Thiamine Mononitrate,Copper Sulfate,Vitamin B12 Supplement,Riboflavin Supplement,Pyridoxine Hydrochloride,L-Ascorbyl-2-Polyphosphate,Betaine,Calcium Iodate,Folic Acid,Biotin,Sodium Selenite,Dried Bacillus Licheniformis Fermentation Product,Dried Bacillus Subtilis Fermentation Product",[3],Seven Seafood Platter,[2],,
,by nature,,8%,377/100g,28%,22%,4%,38%,dry,,7.0%,25.0%,20.0%,4.0%,10.0%,34.0%,"Chicken Meal,Ground Barley,Chicken Fat (Stabilized with Mixed Tocopherols),Ground Oats,Chicken,Chicken Livers,Ground Brown Rice,Flaxseed Meal,Tomato Pomace,Natural Flavors,Alfalfa Meal,Fish Meal,Fish Oil (Natural Source of DHA),Yeast Culture,Salt,Taurine,Vitamin E Supplement,Choline Chloride,Zinc Sulfate,Zinc Proteinate,Vitamin A Supplement,Vitamin D3 Supplement,Sweet Potatoes,Carrots,Blueberries,Cranberries,Dried Chicory Root,Raspberries,Turmeric,Niacin Supplement,Ferrous Sulfate,Manganese Sulfate,dCalcium Pantothenate,Manganese Proteinate,Copper Proteinate,Thiamine Mononitrate,Copper Sulfate,Vitamin B12 Supplement,Riboflavin Supplement,Pyridoxine Hydrochloride,Calcium Iodate,Folic Acid,Biotin,Sodium Selenite,Rosemary Extract,Dried Yeast Fermentation Solubles",[4],Kitten Formula,[3],,
,by nature,,9%,333/100g,38%,13%,4%,36%,dry,,8.0%,34.0%,12.0%,4.0%,10.0%,32.0%,"Chicken Meal,Ground Barley,Ground Oats,Ground Brown Rice,Salmon Meal,Duck Meal,Chicken Fat (Preserved with Mixed Tocopherols),Natural Chicken Flavor,Chicken Livers,Flaxseed Meal,Fish Oil,Dehydrated Alfalfa Meal,Tomato Pomace,Yeast Culture,Salt,Taurine,L-Carnitines,Vitamin E Supplement,Choline Chloride,Zinc Sulfate,Zinc Proteinate,Vitamin A Supplement,Vitamin D3 Supplement,Sweet Potatoes,Carrots,Blueberries,Cranberries,Dried Chicory Root,Raspberries,Turmeric,Niacin Supplement,Ferrous Sulfate,Manganese Sulfate,d-Calcium Pantothenate,Manganese Proteinate,Copper Proteinate,Thiamine Mononitrate,Copper Sulfate,Vitamin B12 Supplement,Riboflavin Supplement,Pyridoxine Hydrochloride,Calcium Iodate,Folic Acid,Biotin,Sodium Selenite",[3],"Chicken, Salmon & Duck Entrée",[2],,
,by nature,,9%,377/100g,21%,22%,3%,44%,dry,,8.0%,19.0%,20.0%,3.0%,10.0%,40.0%,"Chicken Meal,Potato Meal,Chicken Fat (Stabilized with Mixed Tocopherols),Chicken,Salmon Meal,Egg Product,Alfalfa Meal,Tomato Pomace,Natural Flavor,Yeast Culture,Salt,Potassium Chloride,Taurine,DL-Methionine,L-Lysine Monohydrochloride,Vitamin E Supplement,Choline Chloride,Zinc Sulfate,Zinc Proteinate,Vitamin A Supplement,Vitamin D3 Supplement,Sweet Potatoes,Carrots,Blueberries,Cranberries,Dried Chicory Root,Raspberries,Turmeric,Niacin Supplement,Ferrous Sulfate,Manganese Sulfate,d-Calcium Pantothenate,Manganese Proteinate,Copper Proteinate,Thiamine Mononitrate,Copper Sulfate,Vitamin B12 Supplement,Riboflavin Supplement,Pyridoxine Hydrochloride,L-Ascorbyl-2-Polyphosphate,Betaine,Calcium Iodate,Folic Acid,Biotin,Sodium Selenite,Brewers Dried Yeast,Bacillus licheniformis,Bacillus Subtilis",[4],Chicken & Potato Flavor,[3],,
,by nature,,8%,367/100g,31%,20%,4%,37%,dry,,7.0%,28.0%,18.0%,4.0%,10.0%,33.0%,"Chicken Meal,Ground Barley,Chicken Fat (Stabilized with Mixed Tocopherols),Chicken,Chicken Livers,Ground Brown Rice,Flaxseed Meal,Ground Oats,Fish Meal,Tomato Pomace,Natural Flavors,Alfalfa Meal,Yeast Culture,Salt,Fish Oil,Taurine,Vitamin E Supplement,Choline Chloride,Zinc Sulfate,Zinc Proteinate,Vitamin A Supplement,Vitamin D3 Supplement,Sweet Potatoes,Carrots,Blueberries,Cranberries,Dried Chicory Root,Raspberries,Turmeric,Niacin Supplement,Ferrous Sulfate,Manganese Sulfate,dCalcium Pantothenate,Manganese Proteinate,Copper Proteinate,Thiamine Mononitrate,Copper Sulfate,Vitamin B12 Supplement,Riboflavin Supplement,Pyridoxine Hydrochloride,Calcium Iodate,Folic Acid,Biotin,Sodium Selenite,Rosemary Extract,Dried Yeast Fermentation Solubles",[4],Adult Cat Formula,[2],,
,by nature,,15%,83/100g,0%,31%,8%,47%,wet,,2.8%,0.0%,6.0%,1.5%,82.0%,9.0%,"Venison,Turkey Broth,Vegetable Broth,Turkey Liver,Egg,Natural Flavor,Pea Flour,Mushrooms,Carrots,Guar Gum,Spinach,Sodium Tripolyphosphate,Alfalfa Meal,Salt,Potassium Chloride,Calcium Carbonate,Magnesium,Cranberries,Taurine,Choline Chloride,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[3],Venison Stew,[4],,
,by nature,,14%,69/100g,6%,22%,8%,50%,wet,,2.5%,1.0%,4.0%,1.5%,82.0%,9.0%,"Trout,Fish Broth,Vegetable Broth,Chicken Liver,Egg,Pea Flour,Natural Flavor,Calcium Carbonate,Flaxseed,Guar Gum,Salt,Spinach,Sodium Tripolyphosphate,Alfalfa Meal,Zucchini,Cranberries,Dill,Potassium Chloride,Taurine,Dicalcium Phosphate,Magnesium,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Menadione Sodium Bisulfite Complex,Folic Acid",[3],Trout Stew,[4],,
,by nature,,10%,96/100g,8%,30%,7%,45%,wet,,2.3%,1.8%,6.5%,1.5%,78.0%,10.0%,"Turkey,Turkey Liver,Turkey Broth,Pea Flour,Carrots,Sun-Cured Alfalfa,Cranberries,Spinach,Flaxseed,Choline Chloride,Guar Gum,Salt,Potassium Chloride,Carrageenan,Taurine,Dicalcium Phosphate,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[2],Turkey Cantata,[3],,
,by nature,,10%,106/100g,1%,39%,7%,43%,wet,,2.3%,0.3%,8.5%,1.5%,78.0%,9.5%,"Salmon,Turkey,Fish Broth,Pea Flour,Carrots,Sun-Cured Alfalfa,Choline Chloride,Potassium Chloride,Spinach,Cranberries,Flaxseed,Dicalcium Phosphate,Guar Gum,Salt,Carrageenan,Taurine,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[2],Salmon & Turkey Pâté,[4],,
,by nature,,16%,65/100g,12%,19%,8%,44%,wet,,2.9%,2.1%,3.5%,1.5%,82.0%,8.0%,"Rabbit,Turkey Broth,Vegetable Broth,Turkey Liver,Egg,Bacon,Pea Flour,Natural Flavor,Potato Starch,Mushrooms,Carrots,Guar Gum,Salt,Cranberries,Sodium Tripolyphosphate,Alfalfa Meal,Tomatoes,Spinach,Thyme,Taurine,Calcium Carbonate,Choline Chloride,Potassium Chloride,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Menadione Sodium Bisulfite Complex,Folic Acid",[3],Rabbit Stew,[4],,
,by nature,,0%,102/100g,25%,27%,7%,41%,wet,,0.0%,5.5%,6.0%,1.5%,78.0%,9.0%,"Organic Chicken,Organic Chicken Livers,Water,Organic Pea Flour,Organic Guar Gum,Organic Locust Bean Gum,Dicalcium Phosphate,Potassium Chloride,Taurine,Salt,Calcium Carbonate,Choline Chloride,Vitamin E Supplement,Zinc Proteinate (Chelated Source of Zinc),Copper Proteinate (Chelated Source of Copper),Manganese Proteinate (Chelated Source of Manganese),Sodium Selenite,d-Calcium Pantothenate,Vitamin A Acetate,Riboflavin Supplement,Ethylenediamine Dihydriodide,Vitamin B-12 Supplement,Biotin,Vitamin D-3 Supplement,Pyridoxine Hydrochloride,Thiamine Mononitrate,Folic Acid,Menadione Dimethylpyrimidinol Bisulfite",[3],Organic Chicken & Chicken Liver,[3],,
,by nature,,10%,96/100g,10%,30%,7%,43%,wet,,2.3%,2.3%,6.5%,1.5%,78.0%,9.5%,"Ocean Whitefish,Turkey Liver,Fish Broth,Pea Flour,Calcium Carbonate,Tricalcium Phosphate,Carrots,Sun-Cured Alfalfa,Spinach,Cranberries,Salt,Choline Chloride,Guar Gum,Carrageenan,Taurine,Flaxseed,Potassium Chloride,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[2],Ocean Whitefish Farrago,[3],,
